Type,City,Country,Latitude,Longitude
destination charger,Veracruz,Mexico,19.194186,-96.126276
destination charger,Berlin,Germany,52.532951,13.380476
destination charger,Saanenmoeser-Gstaad,Switzerland,46.518969,7.310579
destination charger,Adelaide,Australia,-34.939172,138.536369
destination charger,Diepenheim,Netherlands,52.175972,6.614891
destination charger,Guerrero Negro,Mexico,27.967992,-114.017044
destination charger,Lubbock,United States,33.591025,-101.867768
standard charger,Tarragona,Spain,41.299504,1.261364
destination charger,Santa Fe,United States,35.682345,-105.945457
standard charger,Isola d'Asti,Italy,44.833076,8.188131
destination charger,Nola,Italy,40.963881,14.480053
destination charger,서울특별시,South Korea,37.53532,126.9983
destination charger,Irapuato,Mexico,20.683809,-101.393815
destination charger,Alcobendas,Spain,40.534692,-3.621364
destination charger,Blankenberge,Belgium,51.315424,3.130263
destination charger,Vellinge,Sweden,55.427212,13.006407
standard charger,Vesenaz,Switzerland,46.238381,6.196463
destination charger,San Vigilio di Marebbe,Italy,46.698038,11.927146
destination charger,Saint-Alban-Auriolles,France,44.414651,4.274861
destination charger,Vorderweissenbach,Austria,48.590649,14.173765
destination charger,Rockford,United States,42.269632,-88.971292
supercharger,Sancé,France,46.346553,4.850173
destination charger,Spring Hill,Australia,-27.464522,153.026975
supercharger,Pleasant Prairie,United States,42.518715,-87.950428
standard charger,滿州鄉,Taiwan,21.999876,120.819844
destination charger,Soell,Austria,47.49806247,12.198091
supercharger,Great Chesterford,United Kingdom,52.168184,0.109099
destination charger,Danville,United States,37.810487,-121.991211
supercharger,Chestnut Hill,United States,42.32218,-71.17228
supercharger,Brockville,Canada,44.589575,-75.684302
supercharger,Hooksett,United States,43.11007,-71.475065
destination charger,Jekyll Island,United States,31.046057,-81.411542
standard charger,Macau,"Macao S.A.R., China",22.1904922,113.540829
supercharger,Wokingham,United Kingdom,51.428333,-0.898835
destination charger,Nad Al Sheba,United Arab Emirates,25.171479,55.322363
supercharger,Corse,France,42.303821,9.158317
destination charger,千葉県,Japan,34.910384,139.860397
destination charger,Cowes,Australia,-38.472779,145.239172
destination charger,Idyllwild,United States,33.7554,-116.702189
destination charger,San Luis Potosi,Mexico,22.125615,-101.019206
destination charger,Bridgwater,United Kingdom,51.06568,-2.993692
destination charger,East Peoria,United States,40.672956,-89.587645
supercharger,Ehrenberg,United States,33.601995,-114.522011
destination charger,Sømna,Norway,65.31047,12.166769
destination charger,Roses,Spain,42.242349,3.203249
destination charger,Gålå,Norway,61.499683,9.788699
destination charger,Tuolumne,United States,37.973467,-120.238499
destination charger,Nykøbing Falster,Denmark,54.785042,12.002743
supercharger,부산,South Korea,35.160676,129.163823
destination charger,Naucalpan de Juarez,Mexico,19.421264,-99.287257
destination charger,Kuortane,Finland,62.819202,23.501246
destination charger,Cadell,Australia,-34.066104,139.838445
destination charger,Osoyoos,Canada,49.040895,-119.434408
destination charger,South Haven,United States,42.404325,-86.141746
destination charger,Viseu,Portugal,40.41119,-8.041743
supercharger,Deerfield Beach,United States,26.317396,-80.119858
destination charger,Dunham,Canada,45.130539,-72.800473
destination charger,Penjamo,Mexico,20.471302,-101.617433
destination charger,Cuauhtemoc,Mexico,19.428617,-99.16619
supercharger,Canmore,Canada,51.100208,-115.359179
destination charger,Guadalajara,Mexico,20.702942,-103.376695
supercharger,Leiderdorp,Netherlands,52.160832,4.54932
destination charger,Verona,Italy,45.435417,10.990417
destination charger,Benito Juarez,Mexico,19.400285,-99.170907
standard charger,Weyhe,Germany,52.99439,8.815327
destination charger,Luson,Italy,46.746214,11.776135
supercharger,Irschenberg,Germany,47.82683,11.89809
destination charger,"Parksville,",Canada,49.321674,-124.315069
destination charger,Meransen,Italy,46.823027,11.667151
destination charger,St. Ulrich,Italy,46.571195,11.682515
destination charger,Ahrntal,Italy,46.995273,11.977242
